Constant,Participant,Face,Context,attract,pitch,base
1,1,1,1,2,99.88,97.79
1,1,2,1,1,108.5,100.4
1,1,3,1,3,99.06,101
1,1,4,1,4,97.02,100.28
1,1,5,1,2,102.04,97.79
1,1,6,1,3,98.38,101
1,1,7,1,2,102.36,97.79
1,1,8,1,3,89.46,101
1,1,9,1,2,100.41,97.79
1,1,10,1,3,101.3,101
1,1,11,1,5,106.13,96.99
1,1,12,1,4,97.61,100.28
1,1,13,1,1,99.89,100.4
1,1,14,1,2,95.81,97.79
1,1,15,1,7,96.26,99.65
1,1,16,1,4,96.75,100.28
1,1,17,1,2,103.84,97.79
1,1,18,1,2,96.49,97.79
1,1,19,1,4,122.1,100.28
1,1,20,1,2,100.52,97.79
1,1,21,1,8,117.32,100.7
1,1,22,1,6,96.27,108.29
1,1,23,1,5,96.47,96.99
1,1,24,1,1,97.57,100.4
1,1,25,1,6,114.21,108.29
1,1,26,1,3,96.29,101
1,1,27,1,2,98.74,97.79
1,1,28,1,8,98,100.7
1,1,29,1,5,98.26,96.99
1,1,30,1,4,113.67,100.28
1,1,31,1,4,96.34,100.28
1,1,32,1,3,101.08,101
1,1,1,2,2,93.04,97.79
1,1,2,2,2,100.61,97.79
1,1,3,2,3,98.28,101
1,1,4,2,6,136.43,108.29
1,1,5,2,2,99.32,97.79
1,1,6,2,2,102.86,97.79
1,1,7,2,3,101.08,101
1,1,8,2,2,96.73,97.79
1,1,9,2,4,110.72,100.28
1,1,10,2,3,93.51,101
1,1,11,2,8,92.58,100.7
1,1,12,2,5,99.56,96.99
1,1,13,2,6,105.55,108.29
1,1,14,2,1,96.47,100.4
1,1,15,2,8,102.48,100.7
1,1,16,2,2,104.37,97.79
1,1,17,2,2,96.62,97.79
1,1,18,2,2,98.94,97.79
1,1,19,2,5,101.25,96.99
1,1,20,2,2,99.9,97.79
1,1,21,2,8,106.9,100.7
1,1,22,2,5,96.55,96.99
1,1,23,2,5,126.91,96.99
1,1,24,2,4,95.27,100.28
1,1,25,2,8,105.43,100.7
1,1,26,2,4,96.65,100.28
1,1,27,2,5,101.63,96.99
1,1,28,2,9,100.59,97.84
1,1,29,2,8,96.71,100.7
1,1,30,2,2,102.31,97.79
1,1,31,2,7,99.1,99.65
1,1,32,2,5,96.24,96.99
1,2,1,1,3,147.08,148.31
1,2,2,1,4,149.07,147.41
1,2,3,1,1,156.58,145.47
1,2,4,1,7,146.94,144.59
1,2,5,1,3,153.16,148.31
1,2,6,1,6,149.59,158.29
1,2,7,1,2,148.3,143.59
1,2,8,1,4,132.22,147.41
1,2,9,1,1,150.03,145.47
1,2,10,1,7,152.42,144.59
1,2,11,1,7,144.87,144.59
1,2,12,1,5,146.07,145.3
1,2,13,1,5,145.26,145.3
1,2,14,1,6,148.57,158.29
1,2,15,1,6,141.92,158.29
1,2,16,1,2,160,143.59
1,2,17,1,5,146.66,145.3
1,2,18,1,4,158.38,147.41
1,2,19,1,7,149.21,144.59
1,2,20,1,5,145.69,145.3
1,2,21,1,8,147.2,159.13
1,2,22,1,6,154.03,158.29
1,2,23,1,7,146.47,144.59
1,2,24,1,7,145.6,144.59
1,2,25,1,7,151.92,144.59
1,2,26,1,7,152.92,144.59
1,2,27,1,6,146.83,158.29
